"species_nr","code","wetnaam","nednaam","aangevuld"
"6644","AUBR-SP","Aubrieta species","Aubrietia (G)","0"
"5026","AUBRDEL","Aubrieta deltoidea","Aubrietia","0"
"6068","AVEN-SP","Avena species","Haver (G)","0"
"126","AVENFAT","Avena fatua","Oot","0"
"1800","AVENSAT","Avena sativa","Haver","0"
"5028","AVENSTE","Avena sterilis","Wilde haver","0"
"5027","AVENSTR","Avena strigosa","Evene","0"
"6646","AXYR-SP","Axyris species","Hoornmelde (G)","0"
"5029","AXYRAMA","Axyris amaranthoides","Hoornmelde","0"
"6069","AZOL-SP","Azolla species","Kroosvaren (G)","0"
"128","AZOLFIL","Azolla filiculoides","Grote kroosvaren","0"
"127","AZOLCAR","Azolla mexicana","Kleine kroosvaren","0"
"6070","BALL-SP","Ballota species","Ballote (G)","0"
"5030","BALLNIG","Ballota nigra","Ballote","0"
"129","BALLN-F","Ballota nigra s. foetida","Stinkende ballote","0"
"5162","BALLN-N","Ballota nigra s. nigra","Echte ballote","0"
"6720","BALM-SP","Balsamita species","Balsemwormkruid (G)","0"
"5248","BALMMAJ","Balsamita major","Balsemwormkruid","0"
"6071","BARB-SP","Barbarea species","Barbarakruid (G)","0"
"130","BARBINT","Barbarea intermedia","Bitter barbarakruid","0"
"131","BARBSTR","Barbarea stricta","Stijf barbarakruid","0"
"132","BARBVER","Barbarea verna","Vroeg barbarakruid","0"
"133","BARBVUL","Barbarea vulgaris","Gewoon barbarakruid","0"
"6072","BASS-SP","Bassia species","Ruig zoutkruid (G)","0"
"134","BASSHIR","Bassia hirsuta","Ruig zoutkruid","0"
"6073","BELL-SP","Bellis species","Madeliefje (G)","0"
"135","BELLPER","Bellis perennis","Madeliefje","0"
"6074","BERB-SP","Berberis species","Berberis (G)","0"
"5212","BERBTHU","Berberis thunbergii","Japanse berberis","0"
"136","BERBVUL","Berberis vulgaris","Zuurbes","0"
"6075","BERT-SP","Berteroa species","Grijskruid (G)","0"
"137","BERTINC","Berteroa incana","Grijskruid","0"
"6647","BERU-SP","Berula species","Kleine watereppe (G)","0"
"1215","BERUERE","Berula erecta","Kleine watereppe","0"
"6076","BETA-SP","Beta species","Biet (G)","0"
"2335","BETAVUL","Beta vulgaris","Biet en Strandbiet","0"
"138","BETAV-M","Beta vulgaris s. maritima","Strandbiet","0"
"1801","BETAV-V","Beta vulgaris s. vulgaris","Biet s.s.","0"
"6077","BETU-SP","Betula species","Berk (G)","0"
"140","BETUPEN","Betula pendula","Ruwe berk","0"
"5205","BETUP=P","Betula pendula + B. pubescens","Ruwe en Zachte berk","0"
"139","BETUPUB","Betula pubescens","Zachte berk","0"
"6078","BIDE-SP","Bidens species","Tandzaad (G)","0"
"141","BIDECER","Bidens cernua","Knikkend tandzaad","0"
"142","BIDECON","Bidens connata","Smal tandzaad","0"
"5208","BIDEC=T","Bidens connata + B. tripartita","Smal en Veerdelig tandzaad","0"
"143","BIDEFRO","Bidens frondosa","Zwart tandzaad","0"
"2458","BIDERAD","Bidens radiata","Riviertandzaad","0"
"144","BIDETRI","Bidens tripartita","Veerdelig tandzaad","0"
"6648","BIFO-SP","Bifora species","Holzaad (G)","0"
"5031","BIFORAD","Bifora radians","Holzaad","0"
"6079","BLAC-SP","Blackstonia species","Bitterling (G)","0"
"2336","BLACPER","Blackstonia perfoliata","Bitterling","0"
"1855","BLACP-P","Blackstonia perfoliata s. perfoliata","Zomerbitterling","0"
"145","BLACP-S","Blackstonia perfoliata s. serotina","Herfstbitterling","0"
"6080","BLEC-SP","Blechnum species","Dubbelloof (G)","0"
"146","BLECSPI","Blechnum spicant","Dubbelloof","0"
"6730","BLYS-SP","Blysmus species","Tweerijige bies (G)","0"
"1157","SCIRCAR","Blysmus compressus","Platte bies","0"
"1158","SCIRRUF","Blysmus rufus","Rode bies","0"
"6752","BOLO-SP","Bolboschoenus species","Heen (G)","0"
"1156","SCIRMAR","Bolboschoenus maritimus","Heen","0"
"6081","BORA-SP","Borago species","Bernagie (G)","0"
"147","BORAOFF","Borago officinalis","Bernagie","0"
"6082","BOTR-SP","Botrychium species","Maanvaren (G)","0"
"148","BOTRLUN","Botrychium lunaria","Gelobde maanvaren","0"
"149","BOTRMAT","Botrychium matricariifolium","Vertakte maanvaren","0"
"6083","BRAC-SP","Brachypodium species","Kortsteel (G)","0"
"150","BRACPIN","Brachypodium pinnatum","Gevinde kortsteel","0"
"151","BRACSYL","Brachypodium sylvaticum","Boskortsteel","0"
"6084","BRAS-SP","Brassica species","Kool (G)","0"
"1665","BRASJUN","Brassica juncea","Sareptamosterd","0"
"1802","BRASNAP","Brassica napus","Koolzaad","0"
"152","BRASNIG","Brassica nigra","Zwarte mosterd","0"
"1803","BRASOLE","Brassica oleracea","Kool","0"
"1804","BRASRAP","Brassica rapa","Raapzaad","0"
"6085","BRIZ-SP","Briza species","Trilgras (G)","0"
"153","BRIZMED","Briza media","Bevertjes","0"
"6731","BROO-SP","Bromopsis species","Vaste dravik (G)","0"
"157","BROMERE","Bromopsis erecta","Bergdravik","0"
"159","BROMINE","Bromopsis inermis","Kweekdravik","0"
"2475","BROMI-P","Bromopsis inermis s. pumpelliana","Amerikaanse kweekdravik","0"
"2432","BROMRAM","Bromopsis ramosa","Ruwe en Bosdravik","0"
"155","BROMR-B","Bromopsis ramosa s. benekenii","Bosdravik","0"
"163","BROMR-M","Bromopsis ramosa s. ramosa","Ruwe dravik","0"
"6086","BROM-SP","Bromus species","Dravik (G)","0"
"154","BROMARV","Bromus arvensis","Akkerdravik","0"
"1421","BROMBRO","Bromus bromoideus","Ardense dravik","0"
"2337","BROMHOR","Bromus hordeaceus","Zachte dravik s.l.","0"
"161","BROMH-H","Bromus hordeaceus s. hordeaceus","Zachte dravik s.s.","0"
"158","BROMH-T","Bromus hordeaceus s. thominei","Duindravik","0"
"1666","BROMJAP","Bromus japonicus","Japanse dravik","0"
"160","BROMLEP","Bromus lepidus","Sierlijke dravik","0"
"1610","BROMRAC","Bromus racemosus","Trosdravik","0"
"156","BROMR-C","Bromus racemosus s. commutatus","Grote trosdravik","0"
"162","BROMR-R","Bromus racemosus s. racemosus","Velddravik","0"
"164","BROMSEC","Bromus secalinus","Dreps","0"
"6087","BRYN-SP","Bryonia species","Heggenrank (G)","0"
"167","BRYNC-D","Bryonia dioica","Heggenrank","0"
"6649","BUDD-SP","Buddleja species","Vlinderstruik (G)","0"
"5032","BUDDDAV","Buddleja davidii","Vlinderstruik","0"
"6089","BUNI-SP","Bunias species","Hardvrucht (G)","0"
"168","BUNIORI","Bunias orientalis","Grote hardvrucht","0"
"6090","BUNU-SP","Bunium species","Aardkastanje (G)","0"
"169","BUNUBUL","Bunium bulbocastanum","Aardkastanje","0"
"6091","BUPL-SP","Bupleurum species","Goudscherm (G)","0"
"2459","BUPLFAL","Bupleurum falcatum","Sikkelgoudscherm","0"
"1670","BUPLROT","Bupleurum rotundifolium","Doorwas","0"
"1669","BUPLSUB","Bupleurum subovatum","Smalle doorwas","0"
"170","BUPLTEN","Bupleurum tenuissimum","Fijn goudscherm","0"
"6092","BUTO-SP","Butomus species","Zwanenbloem (G)","0"
"171","BUTOUMB","Butomus umbellatus","Zwanenbloem","0"
"6702","BUXU-SP","Buxus species","Palmboompje (G)","0"
"5171","BUXUSEM","Buxus sempervirens","Palmboompje","0"
"6093","CAKI-SP","Cakile species","Zeeraket (G)","0"
"172","CAKIMAR","Cakile maritima","Zeeraket","0"
