species_nr,wetnaam,nednaam
424,Phegopteris connectilis,Smalle beukvaren
426,Dryopteris carthusiana,Smalle stekelvaren
427,Thelypteris palustris,Moerasvaren
428,Echinochloa crus-galli,Hanenpoot
429,Echinodorus ranunculoides,Stijve moerasweegbree
430,Echinodorus repens,Kruipende moerasweegbree
431,Echium vulgare,Slangenkruid
432,Elatine hexandra,Gesteeld glaskroos
435,Eleocharis acicularis,Naaldwaterbies
436,Eleocharis multicaulis,Veelstengelige waterbies
437,Eleocharis palustris,Gewone waterbies
438,Eleocharis quinqueflora,Armbloemige waterbies
440,Eleocharis uniglumis,Slanke waterbies
441,Elodea canadensis,Brede waterpest
442,Elodea nuttallii,Smalle waterpest
443,Leymus arenarius,Zandhaver
444,Elytrigia juncea s. boreoatlantica,Biestarwegras
445,Elytrigia atherica,Strandkweek
446,Elytrigia repens,Kweek
447,Empetrum nigrum,Kraaihei
448,Epilobium ciliatum,Beklierde basterdwederik
450,Chamerion angustifolium,Wilgenroosje
451,Epilobium hirsutum,Harig wilgenroosje
453,Epilobium lanceolatum,Lancetbladige basterdwederik
454,Epilobium montanum,Bergbasterdwederik
455,Epilobium obscurum,Donkergroene basterdwederik
456,Epilobium palustre,Moerasbasterdwederik
457,Epilobium parviflorum,Viltige basterdwederik
458,Epilobium roseum,Bleke basterdwederik
460,Epipactis helleborine,Brede wespenorchis
461,Epipactis palustris,Moeraswespenorchis
462,Equisetum arvense,Heermoes
463,Equisetum fluviatile,Holpijp
465,Equisetum x litorale,Bastaardpaardenstaart
466,Equisetum palustre,Lidrus
467,Equisetum ramosissimum,Vertakte paardenstaart
469,Equisetum telmateia,Reuzenpaardenstaart
470,Equisetum x trachyodon,Ruwe paardenstaart
471,Equisetum variegatum,Bonte paardenstaart
472,Erica cinerea,Rode dophei
473,Erica tetralix,Gewone dophei
474,Erigeron acer,Scherpe fijnstraal
475,Conyza canadensis,Canadese fijnstraal
476,Eriophorum angustifolium,Veenpluis
477,Eriophorum gracile,Slank wollegras
478,Eriophorum latifolium,Breed wollegras
479,Eriophorum vaginatum,Eenarig wollegras
480,Erodium cicutarium s. cicutarium,Gewone reigersbek s.s.
481,Erodium lebelii,Kleverige reigersbek
482,Erodium cicutarium s. dunense,Duinreigersbek
483,Erophila verna,Vroegeling
484,Erucastrum gallicum,Schijnraket
485,Eryngium campestre,Echte kruisdistel
486,Eryngium maritimum,Blauwe zeedistel
487,Erysimum cheiranthoides,Gewone steenraket
488,Erysimum hieracifolium,Stijve steenraket
489,Euonymus europaeus,Wilde kardinaalsmuts
490,Eupatorium cannabinum,Koninginnenkruid
491,Euphorbia amygdaloides,Amandelwolfsmelk
492,Euphorbia cyparissias,Cipreswolfsmelk
494,Euphorbia exigua,Kleine wolfsmelk
495,Euphorbia helioscopia,Kroontjeskruid
496,Euphorbia palustris,Moeraswolfsmelk
497,Euphorbia paralias,Zeewolfsmelk
498,Euphorbia peplus,Tuinwolfsmelk
499,Euphorbia platyphyllos,Brede wolfsmelk
500,Euphorbia seguieriana,Zandwolfsmelk
501,Euphorbia stricta,Stijve wolfsmelk
506,Odontites vernus s. litoralis,Vroege ogentroost
509,Odontites vernus s. serotinus,Rode ogentroost
511,Euphrasia rostkoviana,Beklierde ogentroost
513,Fagus sylvatica,Beuk
514,Festuca arundinacea,Rietzwenkgras
515,Festuca gigantea,Reuzenzwenkgras
517,Festuca arenaria,Duinzwenkgras
518,"Festuca ovina ag. (incl. F. cinerea, F. filiformis)",Schapegras
519,Festuca pratensis,Beemdlangbloem
520,Festuca rubra,Rood zwenkgras s.s.
521,Festulolium loliaceum,Trosraaigras
523,Filago vulgaris,Duits viltkruid
524,Filago minima,Dwergviltkruid
526,Filipendula ulmaria,Moerasspirea
527,Filipendula vulgaris,Knolspirea
529,Fragaria vesca,Bosaardbei
530,Rhamnus frangula,Sporkehout
531,Fraxinus excelsior,Gewone es
532,Fritillaria meleagris,Wilde kievitsbloem
533,Fumaria officinalis,Gewone duivenkervel
534,Gagea lutea,Bosgeelster
535,Gagea pratensis,Weidegeelster
536,Gagea spathacea,Schedegeelster
537,Gagea villosa,Akkergeelster
538,Galanthus nivalis,Gewoon sneeuwklokje
539,Galeopsis angustifolia,Smalle raai
540,Galeopsis bifida,Gespleten hennepnetel
541,Galeopsis segetum,Bleekgele hennepnetel
542,Galeopsis speciosa,Dauwnetel
543,Galeopsis tetrahit,Gewone hennepnetel
544,Galinsoga quadriradiata,Harig knopkruid
545,Galinsoga parviflora,Kaal knopkruid
546,Galium aparine,Kleefkruid
547,Galium boreale,Noords walstro
548,Cruciata laevipes,Kruisbladwalstro
549,Galium saxatile,Liggend walstro
550,Galium mollugo,Glad walstro
551,Galium x pomeranicum,Geelwit walstro
553,Galium pumilum,Kalkwalstro
554,Galium sylvaticum,Boswalstro
555,Galium tricornutum,Driehoornig walstro
556,Galium uliginosum,Ruw walstro
557,Galium verum,Geel walstro
558,Genista anglica,Stekelbrem
560,Genista pilosa,Kruipbrem
561,Genista tinctoria,Verfbrem
562,Gentianella amarella,Slanke gentiaan
563,Gentianella campestris,Veldgentiaan
565,Gentianella ciliata,Franjegentiaan
566,Gentiana cruciata,Kruisbladgentiaan
567,Gentianella germanica,Duitse gentiaan
568,Gentiana pneumonanthe,Klokjesgentiaan
569,Geranium columbinum,Fijne ooievaarsbek
