SYNTAXON,SPECIES_NR,PRESENTIE,KARAKT_BED,TROUW
04B2,641,10.0,2.2,0.06
04B2,1048,6.0,1.7,0.1
04B2,1124,4.0,4.5,0.03
04B2,672,2.0,1.0,0.07
04B2,1000,2.0,1.0,0.03
04B2,1044,2.0,1.0,0.05
04B2,1135,4.0,2.0,0.38
04B2,6279,22.0,3.0,3.91
04B2,9500,10.0,8.8,0.52
04B2,630,2.0,15.0,1.05
04B2,859,2.0,3.0,0.06
04B2,9706,2.0,3.0,6.35
04B2,77,4.0,2.5,0.44
04B2,1058,2.0,2.0,0.06
04B2,2135,2.0,38.0,0.71
04B2,2163,2.0,38.0,29.69
04B2,1161,2.0,3.0,0.08
04B2,2620,2.0,2.0,0.01
04B3,854,4.5,2.0,0.12
04B3,933,40.9,21.7,0.94
04B3,1327,4.5,2.0,0.11
04B3,2141,100.0,74.1,94.97
04B3,2145,18.2,3.0,0.56
04B3,2146,27.3,2.8,1.27
04B3,851,27.3,6.8,1.97
04B3,2750,13.6,4.0,4.71
04B3,850,4.5,2.0,0.19
04B3,1156,40.9,4.1,0.61
04B3,1914,31.8,2.7,2.01
04B3,18,18.2,6.3,0.09
04B3,261,4.5,2.0,0.23
04B3,429,9.1,2.5,1.38
04B3,466,4.5,2.0,0.08
04B3,641,18.2,4.0,0.2
04B3,813,9.1,3.5,0.13
04B3,995,18.2,2.5,0.28
04B3,1317,13.6,2.3,0.23
04B3,1949,13.6,3.0,0.54
04B3,2376,4.5,2.0,0.04
04B3,6437,4.5,2.0,1.59
04B3,2142,4.5,2.0,0.16
04B3,1046,9.1,2.0,0.14
04B3,2143,4.5,2.0,0.68
04B3,141,9.1,2.0,0.93
04B3,144,4.5,2.0,0.19
04B3,442,18.2,11.5,1.02
04B3,584,9.1,2.0,0.06
04B3,867,4.5,3.0,0.21
04B3,1114,9.1,3.0,0.46
04B3,1229,9.1,2.5,0.26
04B3,2135,9.1,38.0,3.22
04B3,967,4.5,3.0,0.12
04B3,2147,4.5,2.0,0.11
04B3,171,4.5,2.0,0.23
04B3,441,13.6,9.7,1.04
04B3,585,4.5,8.0,0.15
04B3,929,4.5,4.0,0.27
04B3,972,4.5,3.0,0.07
04B3,2144,4.5,3.0,9.99
04B3,4238,4.5,8.0,54.55
04B3,1000,4.5,3.0,0.17
04B3,1002,18.2,6.3,0.8
04B3,9500,22.7,32.0,4.26
04B3,998,18.2,3.3,0.44
04B3,463,4.5,3.0,0.07
04B3,1964,4.5,2.0,0.22
04B3,9706,4.5,2.0,9.52
04B3,266,4.5,38.0,2.63
04B3,244,4.5,15.0,0.26
04B3,753,4.5,38.0,0.84
04B3,988,4.5,38.0,60.6
04B3,1048,4.5,3.0,0.13
04B3,1135,4.5,2.0,0.42
04B3,6097,4.5,2.0,0.12
04C1,998,21.0,5.8,0.89
